,station id,station name,station latitude,station longitude
1165,3533.0,St. Nicholas Ave & W 126 St,40.8114323,-73.9518776
1176,3387.0,E 106 St & Madison Ave,40.7934337,-73.94945003
1177,330.0,Reade St & Broadway,40.71450451,-74.00562789
1182,3336.0,E 97 St & Madison Ave,40.787801,-73.953559
1195,423.0,W 54 St & 9 Ave,40.76584941,-73.98690506
1204,3155.0,Lexington Ave & E 63 St,40.76440023,-73.96648977
1208,3531.0,Frederick Douglass Blvd & W 129 St,40.8125511,-73.9492286
1226,315.0,South St & Gouverneur Ln,40.70355377,-74.00670227
1247,72.0,W 52 St & 11 Ave,40.76727216,-73.99392888
1253,3502.0,Lexington Ave & E 111 St,40.7954121,-73.9441232
1264,3675.0,3 Ave & E 95 St,40.78459679884892,-73.94968539476395
1265,3173.0,Riverside Blvd & W 67 St,40.777507027547976,-73.98888587951659
1273,3171.0,Amsterdam Ave & W 82 St,40.78524672,-73.97667321
1278,3160.0,Central Park West & W 76 St,40.77896784,-73.97374737
1289,533.0,Broadway & W 38 St,40.75299641,-73.98721619
1298,3622.0,E 128 St & Madison Ave,40.80756,-73.939182
1318,3649.0,W 129 St & Convent Ave,40.814394437915816,-73.95324736833572
1322,3294.0,E 91 St & Park Ave,40.7835016,-73.955327
1341,3535.0,Mt Morris Park W & W 120 St,40.804038,-73.945925
1346,534.0,Water - Whitehall Plaza,40.70255065,-74.0127234
1349,302.0,Avenue D & E 3 St,40.72082834,-73.97793172
1350,224.0,Spruce St & Nassau St,40.71146364,-74.00552427
1354,3156.0,E 72 St & York Ave,40.76663814,-73.95348296
1375,3331.0,Riverside Dr & W 104 St,40.8013434,-73.9711457439
1378,174.0,E 25 St & 1 Ave,40.7381765,-73.97738662
1382,3302.0,Columbus Ave & W 103 St,40.7969347,-73.9643412291
1408,508.0,W 46 St & 11 Ave,40.76341379,-73.99667444
1429,502.0,Henry St & Grand St,40.714215,-73.981346
1430,79.0,Franklin St & W Broadway,40.71911552,-74.00666661
1434,3630.0,Frederick Douglass Blvd & W 115 St,40.8038654,-73.9559308
1437,3372.0,E 74 St & 1 Ave,40.7689738,-73.95482273
1440,3783.0,Cliff St & Fulton St,40.70838,-74.00495
1460,466.0,W 25 St & 6 Ave,40.74395411,-73.99144871
1464,3496.0,1 Ave & E 110 St,40.7923272,-73.9383
1498,3166.0,Riverside Dr & W 72 St,40.78057799010334,-73.98562431335449
1504,3351.0,E 102 St & 1 Ave,40.7869946,-73.94164802
1506,3312.0,1 Ave & E 94 St,40.7817212,-73.94594
1508,520.0,W 52 St & 5 Ave,40.75992262,-73.97648516
1514,2022.0,E 60 St & York Ave,40.759107,-73.959223
1522,3400.0,E 110 St & Madison Ave,40.7961535,-73.94782145
1524,3159.0,W 67 St & Broadway,40.77492513,-73.98266566
1525,417.0,Barclay St & Church St,40.71291224,-74.01020234
1540,3167.0,Amsterdam Ave & W 73 St,40.77966809007312,-73.98093044757842
1543,3375.0,3 Ave & E 72 St,40.7699426,-73.96060712
1544,410.0,Suffolk St & Stanton St,40.72066442,-73.98517977
1551,3345.0,Madison Ave & E 99 St,40.78948541553215,-73.95242929458618
1552,3164.0,Columbus Ave & W 72 St,40.7770575,-73.97898475
1555,518.0,E 39 St & 2 Ave,40.74780373,-73.9734419
1565,3391.0,E 106 St & 1 Ave,40.7892529,-73.93956237
